ST	aroC	dnaN	hemD	hisD	purE	sucA	thrA
3804	10	7	12	9	5	9	734
3805	10	7	12	9	5	9	735
3806	710	142	49	16	40	35	3
3807	428	624	308	418	437	9	87
3808	439	28	355	151	22	29	30
3809	124	436	586	43	718	19	736
3810	145	26	587	268	141	87	28
3811	10	129	18	153	8	680	22
3812	184	25	29	891	129	26	78
3813	145	26	30	84	21	87	28
3814	13	625	25	892	8	289	4
3815	17	18	22	17	719	21	19
3816	711	18	398	803	39	9	48
3817	5	2	3	7	6	681	11
3818	16	626	45	43	90	290	85
3819	10	7	12	893	5	9	2
3820	25	77	588	22	85	643	25
3821	45	413	47	236	720	58	737
3822	128	119	100	894	22	129	30
3823	145	26	30	213	21	87	28
3824	302	2	589	895	109	682	14
3825	127	287	40	896	122	143	95
3826	438	627	590	225	27	616	738
3827	151	77	27	406	18	326	91
3828	14	13	18	897	14	18	1
3829	255	286	520	898	645	87	658
3830	230	38	228	899	236	216	209
3831	43	41	16	42	721	13	4
3832	39	174	54	900	399	683	739
3833	543	157	131	396	8	2	740
3834	16	2	45	901	36	39	42
3835	426	628	10	122	38	207	741
3836	50	36	78	412	722	9	742
3837	225	25	29	487	48	209	78
3838	10	60	58	902	6	65	16
3840	2	2	43	7	15	19	12
3841	41	332	79	80	28	14	96
3842	10	129	18	153	8	684	22
3843	10	183	7	386	723	186	743
3844	438	629	591	903	76	113	744
3845	5	172	8	195	438	74	452
3846	41	5	15	673	555	12	305
3847	346	3	22	524	2	319	745
3848	2	2	3	124	2	2	746
3849	145	286	30	282	21	87	28
3850	5	2	3	7	6	190	11
3851	2	15	21	904	130	139	12
3852	1	1	1	1	1	1	1
3853	88	26	592	546	21	87	80
3854	17	18	22	905	5	21	19
3855	43	41	16	13	337	13	23
3856	33	630	159	144	21	87	28
3857	369	75	90	451	2	188	378
3858	2	631	144	46	159	512	22
3859	4	4	447	278	2	146	672
3860	5	2	3	7	6	6	747
3861	13	12	17	520	13	685	4
3862	33	352	30	322	141	87	28
3863	45	632	82	9	128	6	34
3864	713	73	79	156	138	109	102
3865	16	43	45	906	36	39	42
3868	46	588	3	800	517	2	1
3869	33	352	30	84	21	87	28
3870	17	18	593	17	5	21	19
3871	632	38	8	36	29	13	36
3873	391	7	98	12	96	19	6
3874	29	26	30	84	283	145	28
3875	231	38	422	388	725	340	209
3876	13	11	16	15	12	522	4
3877	5	2	3	7	726	6	11
3878	65	78	29	82	20	50	749
3879	10	634	18	153	8	9	22
3880	5	2	594	7	6	6	11
3881	11	41	55	42	34	58	750
3882	311	503	468	710	2	484	126
3883	127	32	40	33	139	79	324
3885	157	635	25	72	12	322	4
3886	346	4	8	125	76	19	298
3887	11	177	71	908	33	23	4
3888	6	14	15	7	336	14	751
3889	417	37	47	96	13	687	182
3890	5	2	3	909	6	6	11
3891	1	1	1	910	1	1	5
3892	2	14	24	911	428	19	8
3893	351	160	38	194	184	688	4
3894	16	16	595	18	8	12	18
3895	41	42	299	912	9	12	2
3896	718	28	355	27	727	29	30
3897	230	38	288	913	342	216	209
3898	127	81	25	163	76	19	298
3899	371	194	8	36	29	8	36
3900	719	12	17	16	13	16	4
3901	33	26	30	55	21	145	753
3902	130	97	25	125	728	9	101
3904	33	26	30	55	141	145	28
3905	41	637	79	62	28	14	96
3906	65	25	28	56	48	26	79
3907	5	2	3	914	6	6	11
3908	117	295	596	100	38	9	303
3909	56	24	75	83	79	26	131
3910	471	77	27	22	18	85	25
3911	56	24	28	83	729	26	78
3912	5	2	3	7	6	689	11
3913	145	26	30	25	21	87	28
3914	30	28	31	454	22	129	30
3915	56	638	28	83	730	26	27
3916	380	639	276	511	240	360	208
3917	56	25	405	24	579	26	79
3918	13	83	48	13	12	71	4
3919	720	25	75	24	20	26	754
3920	124	436	43	915	193	19	736
3921	145	640	30	916	21	279	658
3922	260	252	27	68	55	184	49
3923	132	121	597	917	24	135	755
3924	228	176	31	38	223	212	208
3925	570	24	75	24	641	26	538
3926	220	221	163	918	55	549	230
3927	46	44	598	46	38	18	34
3928	374	288	408	640	63	690	382
3929	127	287	289	94	731	199	126
3930	721	176	599	22	732	91	91
3931	722	22	192	22	277	24	756
3932	41	332	79	62	733	14	96
3933	242	221	278	81	314	99	757
3934	188	37	271	128	90	691	1
3935	43	41	16	21	12	13	758
3936	111	109	17	149	41	13	759
3937	2	2	43	7	193	187	12
3938	723	104	538	919	10	13	137
3939	11	40	25	13	40	58	4
3940	145	26	600	144	21	87	475
3941	198	148	601	920	341	43	349
3942	30	28	31	698	22	29	30
3944	140	113	602	922	734	39	102
3945	65	78	29	24	20	26	131
3946	6	222	10	44	352	321	336
3947	13	12	17	16	13	16	760
3948	5	2	3	7	735	6	11
3949	43	41	16	42	35	692	4
3950	18	14	12	923	5	18	21
3951	140	213	43	12	736	19	307
3952	10	7	12	9	5	103	761
3953	108	641	273	430	737	9	165
3954	25	176	27	22	738	67	91
3955	5	73	224	196	184	9	762
3956	724	513	23	64	38	61	12
3957	725	129	122	62	118	19	2
3958	172	37	10	924	95	188	153
3959	56	24	603	24	20	252	51
3960	140	105	85	93	739	10	3
3961	726	175	15	813	2	693	763
3962	197	642	3	466	8	221	166
3963	70	536	79	925	138	9	764
3964	727	4	25	125	438	90	22
3965	42	11	48	149	12	694	4
3966	13	11	25	653	114	350	4
3967	700	107	40	114	39	427	765
3968	101	81	25	125	438	19	124
3969	84	11	604	42	40	71	4
3970	71	65	67	75	73	500	64
3971	42	40	17	41	33	105	41
3972	101	20	25	128	438	53	22
3974	101	4	25	125	84	90	766
3975	10	7	12	9	5	9	767
3976	45	4	8	44	27	695	8
3977	16	16	20	18	8	696	18
3978	558	11	25	16	33	58	23
3979	231	38	288	427	359	697	359
3980	10	7	605	9	5	9	17
3981	202	643	8	349	438	9	101
3982	13	11	16	42	40	71	4
3983	93	319	108	17	115	9	319
3984	127	32	36	926	122	132	95
3985	15	126	101	88	740	19	18
3986	117	135	21	12	741	162	38
3987	110	64	25	125	84	90	101
3988	5	75	8	96	39	146	105
3989	729	9	226	927	5	698	58
3990	104	100	54	928	742	9	48
3991	121	14	248	17	71	146	18
3992	88	26	30	929	21	68	80
3993	117	644	8	125	76	10	192
3994	2	2	15	14	15	699	12
3995	5	2	606	7	6	6	11
3996	33	26	30	212	131	87	134
3997	197	532	15	115	132	46	553
3998	364	25	29	487	48	209	27
4000	43	41	16	13	743	13	4
4001	46	14	607	12	97	19	18
4002	191	82	187	22	85	85	91
4003	65	645	608	82	577	243	598
4004	608	646	30	212	283	145	28
4005	111	104	17	49	33	700	4
4006	14	647	21	125	38	19	768
4007	41	42	43	58	9	12	617
4008	483	28	355	454	493	701	30
4009	358	46	16	42	33	71	23
4010	19	36	8	280	140	298	102
4011	231	38	245	363	236	215	209
4012	62	53	54	930	5	53	54
4013	2	2	15	14	15	429	12
4014	147	13	609	123	15	19	17
4015	731	149	610	931	744	702	769
4016	18	648	12	9	5	18	21
4017	15	319	108	66	115	6	22
4018	112	649	98	932	745	9	770
4019	151	22	27	22	260	249	25
4020	632	650	8	163	2	196	771
4021	16	16	20	18	8	703	18
4022	2	4	40	43	481	704	425
4023	127	651	289	94	731	199	126
4024	371	435	8	196	39	437	446
4025	313	652	250	236	5	109	1
4026	11	10	25	13	10	705	4
4027	732	191	233	96	95	394	184
4028	10	7	611	9	5	9	2
4029	282	143	29	82	519	178	60
4030	5	2	612	6	5	5	10
4032	127	90	289	934	84	100	95
4033	19	20	3	20	5	22	772
4034	13	11	16	15	12	706	4
4035	734	169	25	935	161	83	196
4036	10	653	12	9	5	9	2
4037	440	70	153	4	746	343	139
4038	46	7	112	12	5	19	12
4039	110	6	135	795	36	9	102
4040	209	70	152	132	34	9	168
4041	18	13	239	12	5	198	6
4042	735	7	12	9	112	9	2
4043	75	67	10	936	15	9	66
4045	75	67	12	17	15	9	66
4046	84	40	25	164	40	13	4
4047	60	12	17	16	13	707	4
4048	13	11	16	937	12	15	4
4049	468	104	48	113	114	107	4
4050	2	5	116	938	5	19	12
4051	92	125	613	128	138	9	141
4052	41	42	43	58	9	12	773
4053	5	75	8	939	39	146	97
4054	81	655	101	12	124	130	17
4055	736	12	17	520	13	16	4
4056	127	81	111	564	39	284	41
4057	166	507	46	205	664	175	164
4058	230	38	245	940	342	216	209
4060	502	656	614	832	184	45	368
4061	2	2	9	7	134	708	86
4062	255	286	30	282	21	87	28
4063	738	22	27	22	18	131	24
4064	739	2	3	7	6	6	11
4065	740	429	17	662	13	16	4
4066	696	25	29	24	20	26	27
4067	10	19	12	941	5	9	2
4069	6	14	26	942	8	9	38
4070	203	11	17	113	167	35	4
4071	13	11	16	15	12	709	4
4072	14	112	43	123	118	710	120
4073	10	60	58	66	6	65	774
4074	379	169	38	149	40	35	23
4075	124	4	283	943	5	12	38
4076	22	11	25	21	184	629	775
4077	10	7	12	9	5	9	776
4078	14	657	43	123	118	115	120
4079	5	2	3	7	747	6	11
4080	13	127	92	944	114	107	4
4081	10	658	12	9	5	9	2
4082	172	536	615	128	39	9	153
4083	43	41	16	42	35	711	111
4084	742	42	43	58	9	12	2
4085	5	2	3	945	6	6	11
4086	33	26	30	26	131	87	134
4087	82	659	26	12	115	78	70
4089	10	660	18	153	8	9	22
4090	231	38	402	408	236	340	209
4091	10	7	617	9	5	9	2
4092	56	24	28	24	641	26	78
4093	117	319	43	38	8	9	777
4095	398	627	18	946	664	97	86
4096	106	101	122	7	105	39	12
4097	5	2	3	6	748	5	10
4098	5	2	612	6	749	5	10
4100	5	2	3	6	5	713	10
4101	5	2	3	6	750	671	10
4102	41	42	618	58	9	12	2
4108	46	661	3	18	6	138	1
4121	18	14	12	9	754	18	21
4122	110	31	10	62	14	19	778
4150	2	2	632	124	2	2	6
4153	16	2	45	43	36	39	780
4154	2	15	21	138	130	139	781
4156	10	7	12	9	112	9	782
4157	747	7	21	12	15	12	12
4158	20	4	23	14	16	714	140
4159	748	11	16	15	12	15	4
4160	41	663	18	153	8	9	22
4161	72	664	10	951	2	33	4
4162	41	42	43	58	755	12	784
4163	10	7	633	14	15	12	12
4164	33	26	30	25	21	32	28
4165	749	42	43	58	9	12	2
4166	10	665	21	12	15	12	12
4167	11	10	13	13	10	35	4
4168	13	80	25	85	40	58	4
4169	750	26	30	55	21	87	80
4170	145	26	30	26	21	87	785
4171	61	12	10	65	756	63	57
4172	12	2	15	14	11	715	16
4173	13	12	634	16	117	16	4
4176	751	7	12	9	5	9	2
4177	30	28	31	698	22	29	127
4178	41	666	43	12	757	12	2
4180	41	42	43	58	9	716	2
4181	19	20	3	20	5	22	786
4182	376	288	249	424	394	295	291
4183	13	127	635	113	114	107	4
4184	127	117	40	33	139	339	95
4185	33	26	30	144	21	87	787
4186	43	41	636	42	35	13	4
4187	752	319	35	814	2	717	8
4188	13	12	17	952	13	16	4
4189	180	161	132	21	12	718	4
4190	16	667	45	43	36	39	42
4191	14	112	43	123	118	719	120
4192	14	112	43	953	118	115	120
4193	111	668	17	149	41	13	23
4194	136	90	40	421	758	226	4
4195	753	42	43	58	9	12	2
4196	17	18	22	17	5	21	788
4197	50	63	25	72	59	720	63
4198	42	40	637	41	33	36	41
4199	62	669	54	60	5	53	54
4200	10	7	12	9	110	721	2
4202	2	59	638	64	38	61	12
4203	229	77	639	954	759	24	789
4204	111	41	25	74	40	13	3
4205	11	41	55	42	34	58	790
4206	84	161	25	356	41	722	283
4207	10	7	12	955	5	9	2
4208	116	7	12	9	5	9	791
4209	10	7	640	9	5	9	2
4210	10	7	12	956	5	9	2
4211	10	7	12	9	5	723	2
4212	136	90	40	94	582	101	792
4213	25	670	171	291	277	91	231
4214	754	161	25	356	41	23	283
4215	755	16	20	18	8	12	18
4216	6	18	46	124	2	175	143
4217	116	7	641	9	5	9	2
4218	161	94	58	93	707	9	22
4219	16	584	45	43	36	39	42
4220	37	671	535	12	6	2	34
4221	2	7	9	958	5	9	12
4222	56	25	29	56	232	26	78
4223	13	672	92	113	114	107	4
4224	10	60	10	9	6	12	12
4225	62	53	54	60	5	725	54
4226	22	11	25	21	760	23	23
4227	756	31	142	957	231	724	96
4228	41	673	43	58	9	12	2
4229	46	44	46	959	38	18	34
4230	757	42	43	58	9	12	2
4231	13	674	92	113	114	107	4
4232	5	2	3	6	636	5	10
4233	39	11	17	960	33	35	4
4252	16	675	20	18	8	12	18
4253	111	12	25	149	33	71	4
4254	585	310	218	934	348	315	793
4255	39	35	40	247	376	9	149
4257	14	101	9	38	105	19	58
4258	209	35	642	447	213	75	373
4259	45	676	49	112	33	179	4
4260	111	208	279	961	40	71	4
4261	2	71	376	121	68	7	16
4262	328	46	643	42	33	153	311
4263	33	26	30	55	21	87	28
4264	285	26	30	144	21	288	264
4265	71	34	17	72	12	58	4
4266	29	286	30	55	21	145	474
4267	88	26	30	84	21	726	28
4268	111	127	92	113	114	727	4
4269	2	13	98	381	2	19	17
4270	758	41	25	16	10	13	4
4271	255	378	30	144	21	353	134
4272	378	26	644	55	21	145	28
4273	15	126	101	88	762	19	18
4274	10	677	12	9	5	9	2
4277	759	147	151	178	155	12	142
4278	145	26	30	668	21	353	795
4279	10	14	15	31	25	20	796
4281	10	19	12	9	5	9	797
4283	10	7	12	9	5	9	798
4284	43	83	25	49	40	13	3
4285	16	16	20	18	8	728	18
4286	101	97	3	125	76	19	101
4287	33	26	30	26	763	32	28
4288	124	436	43	915	718	19	736
4289	65	25	28	83	20	50	27
4290	46	7	9	9	5	9	12
4291	2	436	8	17	2	119	799
4292	46	7	9	9	5	144	12
4293	5	678	3	6	5	5	10
4294	5	2	3	6	5	5	800
4296	127	90	25	33	676	282	95
4297	101	97	8	125	84	90	192
4298	10	7	12	9	112	730	2
4299	10	679	12	9	112	9	2
4301	10	7	12	9	5	103	2
4302	43	47	49	963	41	15	3
4303	760	26	30	282	21	87	473
4304	10	7	12	9	764	9	2
4306	10	7	645	9	5	9	2
4307	13	12	17	964	13	16	4
4308	56	25	29	174	766	209	27
4309	761	2	3	965	6	6	11
4310	5	2	646	7	60	6	512
4311	5	2	3	966	6	6	11
4312	762	12	17	16	13	16	4
4313	11	169	38	16	311	35	801
4314	5	2	3	967	6	6	11
4317	763	6	8	8	7	8	13
4327	10	129	18	969	8	150	22
4328	39	440	8	970	186	186	452
4329	10	129	647	153	8	9	22
4330	110	123	40	112	90	114	102
4331	121	454	8	116	119	7	336
4332	319	680	47	971	768	732	446
4333	136	41	109	361	2	100	126
4334	43	41	16	42	35	733	4
4335	56	25	75	24	237	26	131
4336	382	286	30	84	283	145	474
4337	30	28	31	333	22	734	802
4338	161	31	3	316	118	735	8
4339	145	26	30	144	283	229	134
4340	33	26	30	144	21	87	28
4341	88	26	30	55	21	68	471
4342	30	28	31	27	769	29	30
4343	65	528	29	263	20	178	803
4344	30	681	31	27	57	29	804
4345	33	26	30	282	21	87	805
4346	127	90	648	94	582	226	219
4347	463	14	9	7	76	14	12
4348	111	47	649	16	40	35	3
4349	127	441	133	96	2	9	41
4350	128	119	100	488	22	129	30
4351	25	682	192	341	85	85	25
4352	179	683	650	46	453	132	806
4353	764	684	133	125	2	119	503
4354	161	685	151	178	155	12	142
4355	285	26	30	144	464	87	28
4356	10	7	12	9	770	9	2
4357	52	152	119	183	771	9	126
4358	765	7	12	9	5	9	2
4359	5	75	8	218	39	736	97
4360	12	2	651	14	11	14	16
4361	301	272	652	16	40	13	3
4362	766	10	25	13	10	13	4
4363	5	2	3	6	5	5	807
4364	13	127	48	113	41	23	808
4365	13	686	17	972	13	16	4
4366	17	18	22	17	5	21	809
4367	145	286	30	25	496	145	28
4368	347	325	93	412	363	132	810
4369	767	25	28	56	772	26	27
4370	189	70	68	132	175	9	811
4372	161	147	96	178	774	12	142
4374	56	24	28	973	237	26	812
4375	568	687	10	974	100	58	813
4376	10	688	18	153	8	9	22
4377	17	281	8	262	64	738	280
4378	10	7	12	9	5	9	814
4379	22	11	25	21	10	739	23
4380	10	7	12	9	776	9	2
4381	5	689	87	103	29	108	102
4384	14	13	18	12	14	18	815
4385	56	25	75	975	380	26	79
4386	13	12	17	976	13	16	4
4387	768	112	43	123	118	115	120
4388	14	112	653	123	118	115	120
4391	11	41	55	42	34	741	4
4392	277	22	183	22	777	235	91
4393	220	245	27	449	55	67	816
4394	255	26	30	282	21	742	28
4395	769	264	80	257	294	271	236
4396	145	26	30	282	21	28	28
4397	133	243	34	977	126	245	130
4398	258	690	80	380	277	643	817
4399	191	379	27	22	18	85	24
4400	25	77	27	22	18	24	24
4401	33	286	30	55	21	28	28
4402	151	77	27	22	18	67	25
4403	25	682	192	341	85	85	818
4404	33	26	30	26	283	87	28
4406	5	2	3	9	5	5	10
4407	22	46	16	42	33	13	354
4409	13	80	17	72	10	13	63
4410	151	691	27	465	18	152	169
4411	151	77	80	646	85	85	819
4412	705	225	166	306	713	251	730
4413	260	245	654	359	46	184	59
4414	335	245	27	22	779	85	25
4415	191	692	27	22	589	24	174
4416	221	693	185	309	274	253	247
4417	25	176	77	214	18	91	91
4418	25	77	81	788	85	24	25
4419	318	221	72	81	295	233	230
4420	25	694	655	291	277	24	231
4421	25	22	182	289	250	24	91
4422	247	225	166	978	450	251	218
4423	770	77	80	979	250	743	236
4424	24	77	139	22	18	91	24
4425	25	221	80	22	18	643	169
4426	22	695	25	21	10	23	23
4427	231	38	656	913	780	216	209
4428	13	11	17	16	13	15	820
4429	12	696	15	14	11	14	16
4430	10	19	12	980	5	9	2
4431	10	19	12	981	5	9	2
4432	147	13	15	982	15	19	17
4433	771	26	30	26	21	32	28
4434	16	43	45	43	36	39	821
4435	65	78	28	56	48	744	803
4436	483	28	355	454	493	29	822
4437	230	523	657	983	236	216	209
4438	364	25	29	263	48	178	371
4439	41	42	43	58	9	12	823
4440	2	697	15	14	15	20	12
4441	42	11	48	984	12	13	4
4442	10	698	12	9	110	9	2
4443	12	13	15	14	11	14	16
4444	11	41	55	42	34	58	552
4445	16	16	26	985	8	12	18
4446	117	13	43	88	475	7	17
4447	426	91	8	986	245	6	192
4448	10	19	12	9	5	745	2
4449	10	61	21	67	15	12	12
4450	16	2	95	117	36	746	117
4451	43	41	16	42	35	13	824
4452	772	19	12	9	5	9	2
4453	773	128	96	119	116	119	118
4454	774	42	43	58	9	12	2
4455	19	20	3	20	5	22	825
4456	10	14	15	31	25	20	826
4458	2	86	78	20	446	427	514
4459	10	7	12	9	5	149	827
4460	2	699	15	14	15	20	12
4461	775	176	27	22	18	737	91
4462	42	46	577	149	12	35	4
4463	15	700	658	987	782	747	828
4464	132	121	216	134	126	133	755
4465	188	199	659	62	36	2	2
4466	13	109	660	13	220	13	4
4467	30	28	31	27	22	129	30
4468	13	140	25	526	12	71	4
4469	291	184	3	988	783	109	829
4470	2	7	9	989	5	9	12
4471	11	10	13	13	784	13	4
4472	197	701	3	466	184	65	830
4473	41	702	43	58	9	12	2
4474	16	703	20	18	8	12	18
4475	41	42	43	58	785	12	2
4476	10	457	12	9	5	9	831
4478	231	38	245	416	342	216	209
4479	100	92	84	97	98	748	98
4480	100	92	84	97	419	104	98
4481	133	243	34	977	266	137	130
4482	151	77	27	313	250	24	169
4483	108	112	10	129	3	146	832
4484	25	176	27	380	18	749	833
4485	14	112	8	123	225	115	120
4486	14	73	661	46	6	9	1
4487	10	7	12	9	5	9	834
4488	13	12	17	16	117	16	195
4489	117	65	10	38	25	9	96
4490	3	3	662	4	3	3	7
4491	14	72	115	12	6	19	15
4492	43	704	16	13	34	13	4
4493	10	7	21	14	15	12	835
4494	5	21	18	9	6	12	836
4495	776	47	49	49	41	15	3
4496	777	13	10	436	179	9	553
4497	42	705	48	48	40	35	4
4498	146	133	8	33	139	149	4
4499	65	451	29	848	20	26	60
4500	3	36	43	38	16	42	837
4501	43	47	49	49	41	15	838
4502	322	64	271	128	36	750	839
4503	10	19	12	9	5	9	840
4504	161	548	96	620	153	119	841
4505	30	28	663	990	22	29	30
4506	65	25	29	56	129	50	78
4507	778	119	100	488	22	129	30
4508	779	28	31	698	22	29	30
4509	780	706	34	991	126	751	238
4510	132	30	103	134	126	752	842
4511	483	28	31	992	22	29	30
4512	471	77	27	324	786	204	567
4513	30	707	31	27	22	753	30
4514	30	28	663	57	22	29	30
4515	86	77	27	993	18	24	169
4516	30	28	31	27	22	214	300
4517	56	25	28	24	357	86	538
4518	13	127	48	113	41	754	4
4519	75	10	18	17	90	2	8
4520	111	109	8	120	787	45	4
4521	41	42	43	58	9	12	843
4522	3	3	7	4	788	3	7
4523	3	3	664	4	3	3	7
4524	3	223	7	4	3	3	7
4525	104	100	54	78	104	9	844
4526	2	708	43	7	15	9	12
4527	10	129	18	153	8	755	22
4528	10	7	12	9	789	9	2
4529	65	25	29	994	790	178	51
4530	230	523	245	427	342	756	209
4531	2	2	665	124	2	2	6
4532	19	152	102	96	107	9	135
4533	781	105	3	98	111	115	108
4534	184	143	29	874	48	178	78
4536	26	25	29	24	579	26	79
4538	18	14	12	9	791	18	21
4539	41	42	43	58	9	12	845
4540	101	64	25	279	84	6	101
4543	110	6	135	795	36	45	102
4544	198	48	8	98	402	9	846
4545	81	283	101	12	792	130	17
4546	14	709	248	17	5	146	18
4547	782	147	151	178	155	12	142
4548	161	710	96	178	155	12	142
4549	161	147	96	178	155	12	847
4550	783	147	666	178	155	12	142
4551	19	20	3	20	5	22	848
4552	161	147	348	178	155	12	849
4553	19	20	3	20	793	22	22
4554	128	119	100	27	794	129	30
4555	30	28	667	151	22	148	30
4556	10	7	12	9	5	757	2
4557	13	12	17	16	795	16	4
4558	784	7	21	14	15	12	12
4559	13	11	25	72	796	23	23
4560	48	128	96	119	116	119	850
4561	10	457	668	9	5	9	2
4562	56	711	28	24	797	86	131
4563	84	405	309	995	438	322	137
4564	104	100	54	78	798	9	48
4565	5	2	669	7	6	6	11
4566	13	712	17	16	13	16	4
4567	16	2	45	996	36	39	42
4568	52	503	16	656	184	9	401
4569	39	41	25	997	40	13	3
4570	43	41	16	998	35	13	4
4571	767	25	28	56	772	209	27
4572	5	2	3	7	799	6	11
4573	10	7	670	14	15	12	12
4574	5	2	3	6	800	5	10
4575	127	32	36	33	2	33	3
4576	14	13	18	999	14	18	1
4577	296	26	671	282	21	87	28
4578	33	713	30	213	21	87	134
4579	33	26	30	180	141	758	134
4580	62	53	54	60	801	53	54
4581	378	286	30	668	21	87	28
4582	235	25	672	24	237	26	78
4583	247	246	166	304	802	248	244
4584	17	188	15	500	442	175	18
4585	39	297	47	823	2	759	22
4586	11	41	55	42	803	58	4
4587	258	77	80	22	260	643	24
4588	14	175	10	1000	804	12	102
4589	785	41	16	42	35	13	4
4590	7	6	8	8	805	8	13
4591	11	41	55	42	806	58	4
4592	10	7	12	9	71	9	2
4593	10	7	12	1001	5	9	2
4594	407	714	8	1002	456	132	851
4595	5	21	18	9	6	12	852
4596	692	42	43	58	9	12	2
4597	145	26	30	268	141	87	853
4598	13	11	25	149	114	123	23
4599	11	10	25	1003	10	35	4
4600	12	715	15	14	11	14	16
4601	45	4	8	44	27	150	8
4602	5	133	141	94	316	101	126
4603	2	4	40	43	807	2	425
4605	13	10	25	13	10	13	4
4606	42	11	673	149	12	13	4
4607	16	16	20	1004	8	12	18
4608	341	70	153	1005	808	9	854
4609	786	15	674	43	179	19	96
4610	50	83	25	72	41	58	63
4611	110	716	49	187	2	83	102
4612	2	717	3	12	5	2	16
4613	787	12	25	656	41	9	4
4614	127	718	40	183	809	484	4
4615	788	90	133	96	329	53	95
4616	789	78	29	263	356	50	60
4617	75	14	18	110	25	2	22
4618	790	719	8	20	723	6	855
4619	5	2	3	6	5	760	10
4620	10	7	12	9	5	413	2
4621	791	2	45	43	36	39	42
4622	527	153	10	280	810	9	856
4623	2	59	675	64	38	61	122
4624	10	7	12	9	811	9	2
4625	13	11	676	16	33	23	857
4626	92	107	677	156	64	151	87
4627	30	28	31	57	22	761	81
4628	16	2	45	1006	36	39	42
4629	30	28	31	27	22	29	858
4630	792	42	43	58	9	12	2
4631	41	42	678	58	9	12	2
4632	2	7	9	9	5	9	859
4633	10	7	679	9	5	9	2
4634	10	7	680	9	5	9	2
4635	793	32	40	33	139	79	324
4636	65	78	29	312	20	50	131
4637	188	199	21	62	36	39	860
4638	2	15	21	138	130	139	861
4639	136	90	40	33	2	226	4
4640	56	25	681	24	237	26	79
4641	5	2	3	1007	6	6	11
4642	302	2	589	895	109	42	809
4643	13	83	132	413	220	23	4
4644	16	16	20	18	8	12	862
4645	10	7	12	1008	5	9	2
4646	10	129	682	153	8	150	22
4647	43	41	16	1009	35	13	4
4648	33	173	30	26	812	275	28
4649	33	26	30	282	21	87	28
4650	10	19	12	9	5	9	617
4651	111	47	49	16	41	35	3
4652	13	12	17	16	13	16	586
4653	14	720	43	17	96	19	17
4654	5	2	683	6	5	5	10
4655	10	7	684	9	5	9	2
4656	10	7	21	1010	15	12	12
4657	30	28	31	27	57	29	300
4658	794	70	93	78	113	6	68
4659	127	41	435	361	39	226	95
4660	127	117	40	33	329	132	95
4661	130	97	78	125	84	628	101
4662	795	117	685	129	329	53	863
4663	499	463	10	36	25	46	864
4664	5	510	686	4	95	58	322
4665	127	133	111	94	39	226	41
4666	127	41	109	94	39	132	219
4667	138	90	40	1011	122	132	41
4668	127	506	687	33	304	53	865
4669	146	90	133	279	561	226	41
4670	101	4	25	128	84	19	124
4671	127	4	25	128	438	126	124
4672	469	90	688	33	150	226	513
4673	136	90	648	1012	731	226	41
4674	110	4	25	827	13	53	22
4675	146	90	8	33	139	149	4
4676	45	3	8	114	76	762	386
4677	110	81	8	125	84	90	22
4678	127	4	111	926	122	132	41
4679	415	101	134	33	103	9	449
4680	796	20	25	86	438	53	101
4681	110	115	687	128	304	484	4
4682	795	118	687	128	304	53	4
4683	136	90	111	33	39	339	41
4684	797	152	79	196	95	763	22
4685	13	11	16	15	12	15	866
4686	124	631	689	162	354	19	123
4687	10	303	43	46	199	7	12
4688	231	523	402	416	813	216	209
4689	56	25	75	24	579	86	340
4690	798	36	8	1013	814	764	102
4691	52	519	40	402	815	765	349
4692	799	109	49	13	220	13	4
4693	26	25	29	24	730	86	131
4694	14	117	133	192	39	132	126
4695	5	2	3	7	6	766	11
4696	2	4	40	43	481	2	867
4697	231	721	452	658	342	340	209
4698	90	722	76	1014	82	767	30
4699	114	2	15	396	140	616	22
4700	147	13	15	1015	15	19	17
4701	33	173	690	26	141	275	28
4702	13	11	16	15	12	15	868
4703	20	4	23	14	16	19	869
4704	22	11	25	1016	10	23	23
4705	110	167	691	202	166	768	102
4706	60	12	17	16	816	16	4
4707	800	12	17	16	13	16	4
4708	16	2	45	43	817	39	42
4709	801	14	82	9	128	6	34
4710	2	4	40	43	818	2	425
4711	802	90	111	33	122	143	95
4712	5	2	3	7	6	6	870
4713	11	41	55	42	819	58	4
4714	20	4	23	1017	16	19	140
4715	209	204	8	132	113	83	161
4716	136	41	109	279	2	100	327
4717	803	176	187	258	18	67	25
4718	151	176	27	22	18	769	174
4719	119	10	17	1018	12	13	4
4720	145	26	30	84	21	27	716
4721	804	2	95	117	36	39	117
4722	16	2	692	43	36	39	42
4723	17	18	22	17	5	770	19
4724	127	97	25	163	84	628	101
4725	172	723	10	65	54	45	153
4726	127	90	133	33	122	101	95
4727	5	21	693	9	6	12	871
4728	103	73	108	1019	820	771	872
4729	62	346	694	163	821	6	33
4730	83	724	49	42	388	772	4
4731	805	191	8	615	192	207	873
4732	110	111	695	94	150	372	126
4733	43	725	16	13	12	773	4
4734	10	19	12	1020	5	9	2
4735	230	523	422	1021	322	340	359
4736	56	25	696	83	237	86	27
4737	41	42	43	1022	9	12	2
